epoch,train_total,train_midline,train_qc,val_total,val_midline,val_qc,lr,time_s
1,0.857660,0.751363,0.106297,0.750480,0.676200,0.074280,0.00099994,25.0
2,0.600538,0.582644,0.017893,0.572330,0.563377,0.008953,0.00099975,24.9
3,0.545010,0.539154,0.005856,0.528511,0.524884,0.003628,0.00099945,25.0
4,0.521260,0.518092,0.003168,0.511202,0.508603,0.002599,0.00099901,25.0
5,0.504143,0.501974,0.002169,0.492467,0.490522,0.001946,0.00099846,25.0
6,0.486951,0.485308,0.001644,0.469938,0.468460,0.001478,0.00099778,24.9
7,0.471274,0.469975,0.001299,0.468417,0.467200,0.001217,0.00099698,25.0
8,0.455175,0.454123,0.001051,0.433052,0.432066,0.000986,0.00099606,25.1
9,0.446206,0.445310,0.000896,0.426464,0.425641,0.000823,0.00099502,25.0
10,0.432393,0.431628,0.000766,0.427461,0.426741,0.000720,0.00099385,25.0
11,0.423016,0.422350,0.000666,0.410663,0.410048,0.000615,0.00099256,25.1
12,0.423913,0.423340,0.000573,0.402458,0.401910,0.000549,0.00099115,25.0
13,0.425153,0.424649,0.000504,0.394213,0.393697,0.000517,0.00098962,25.0
14,0.419501,0.419042,0.000459,0.393546,0.393090,0.000456,0.00098797,25.1
15,0.423817,0.423400,0.000417,0.420045,0.419619,0.000427,0.00098620,25.1
16,0.418979,0.418603,0.000376,0.404627,0.404254,0.000373,0.00098431,25.0
17,0.410369,0.410025,0.000344,0.398706,0.398359,0.000347,0.00098230,25.0
18,0.405219,0.404904,0.000315,0.414730,0.414409,0.000321,0.00098017,25.1
19,0.410593,0.410307,0.000286,0.421874,0.421569,0.000305,0.00097792,25.1
20,0.409806,0.409533,0.000273,0.389288,0.389012,0.000277,0.00097555,25.1
21,0.416360,0.416101,0.000259,0.396874,0.396616,0.000258,0.00097307,25.0
22,0.408782,0.408541,0.000240,0.391505,0.391260,0.000245,0.00097047,25.0
23,0.408936,0.408714,0.000222,0.386066,0.385842,0.000224,0.00096775,25.0
24,0.411770,0.411570,0.000200,0.430867,0.430647,0.000220,0.00096492,25.1
25,0.407304,0.407107,0.000197,0.403482,0.403276,0.000206,0.00096198,25.0
26,0.404896,0.404706,0.000191,0.388697,0.388502,0.000194,0.00095892,25.0
27,0.405815,0.405637,0.000178,0.391264,0.391078,0.000186,0.00095575,25.0
28,0.402613,0.402446,0.000167,0.403953,0.403781,0.000172,0.00095246,25.0
29,0.406680,0.406517,0.000162,0.400331,0.400168,0.000163,0.00094906,25.1
30,0.394670,0.394510,0.000160,0.383379,0.383218,0.000161,0.00094556,25.1
31,0.395936,0.395784,0.000152,0.399032,0.398877,0.000155,0.00094194,25.0
32,0.411094,0.410950,0.000145,0.396525,0.396376,0.000148,0.00093822,25.0
33,0.408569,0.408427,0.000142,0.388587,0.388442,0.000145,0.00093438,25.0
34,0.395581,0.395448,0.000133,0.382527,0.382384,0.000143,0.00093044,25.0
35,0.394493,0.394362,0.000131,0.430054,0.429919,0.000135,0.00092639,25.0
36,0.397796,0.397668,0.000127,0.394598,0.394466,0.000132,0.00092224,25.1
37,0.396495,0.396368,0.000127,0.406820,0.406694,0.000126,0.00091799,25.1
38,0.400466,0.400344,0.000122,0.412741,0.412618,0.000123,0.00091363,25.1
39,0.400116,0.400002,0.000114,0.391279,0.391158,0.000121,0.00090917,25.1
40,0.395246,0.395133,0.000113,0.383642,0.383525,0.000116,0.00090460,25.0
41,0.392737,0.392620,0.000117,0.397188,0.397075,0.000114,0.00089994,25.1
42,0.390410,0.390301,0.000109,0.390167,0.390054,0.000113,0.00089518,25.1
43,0.390460,0.390355,0.000105,0.382961,0.382852,0.000109,0.00089032,25.1
44,0.389341,0.389238,0.000103,0.376063,0.375957,0.000106,0.00088537,25.1
45,0.403836,0.403735,0.000101,0.393590,0.393482,0.000108,0.00088032,25.0
46,0.384389,0.384289,0.000100,0.415611,0.415508,0.000102,0.00087518,25.0
47,0.395388,0.395295,0.000093,0.427496,0.427396,0.000100,0.00086995,25.1
48,0.395166,0.395075,0.000091,0.394110,0.394009,0.000101,0.00086462,25.0
49,0.388077,0.387990,0.000087,0.391107,0.391008,0.000099,0.00085920,25.0
50,0.389019,0.388932,0.000087,0.386618,0.386523,0.000095,0.00085370,25.1
51,0.390276,0.390184,0.000092,0.389762,0.389668,0.000094,0.00084811,25.0
52,0.394291,0.394204,0.000087,0.374252,0.374156,0.000095,0.00084243,25.1
53,0.397001,0.396914,0.000087,0.382750,0.382661,0.000090,0.00083667,25.0
54,0.390630,0.390549,0.000081,0.384548,0.384459,0.000089,0.00083083,25.0
55,0.386643,0.386559,0.000084,0.386858,0.386771,0.000087,0.00082490,25.1
56,0.388139,0.388058,0.000081,0.383860,0.383773,0.000087,0.00081889,25.1
57,0.390811,0.390731,0.000080,0.387519,0.387432,0.000087,0.00081281,25.1
58,0.390116,0.390035,0.000081,0.386828,0.386743,0.000086,0.00080665,25.0
59,0.388698,0.388620,0.000078,0.405920,0.405837,0.000083,0.00080041,25.0
60,0.385474,0.385392,0.000082,0.381870,0.381788,0.000083,0.00079410,25.1
61,0.384960,0.384888,0.000072,0.387017,0.386936,0.000081,0.00078772,25.0
62,0.388692,0.388618,0.000075,0.374156,0.374076,0.000080,0.00078126,25.1
63,0.382738,0.382662,0.000076,0.384957,0.384876,0.000081,0.00077474,25.0
64,0.380312,0.380236,0.000076,0.393897,0.393817,0.000081,0.00076815,25.1
65,0.391644,0.391571,0.000074,0.426141,0.426062,0.000079,0.00076149,25.0
66,0.384432,0.384361,0.000071,0.395247,0.395168,0.000079,0.00075477,25.0
67,0.379184,0.379111,0.000073,0.381926,0.381849,0.000076,0.00074798,25.0
68,0.384507,0.384434,0.000073,0.379972,0.379897,0.000075,0.00074114,25.0
69,0.402100,0.402031,0.000069,0.436852,0.436778,0.000074,0.00073423,25.0
70,0.382735,0.382665,0.000070,0.394818,0.394744,0.000074,0.00072727,25.1
71,0.385144,0.385075,0.000069,0.401290,0.401217,0.000073,0.00072025,25.0
72,0.387762,0.387693,0.000068,0.383158,0.383085,0.000073,0.00071318,25.0
73,0.384150,0.384083,0.000067,0.390594,0.390520,0.000073,0.00070605,25.0
74,0.379300,0.379234,0.000066,0.376097,0.376025,0.000072,0.00069888,25.0
75,0.378806,0.378740,0.000067,0.386119,0.386047,0.000072,0.00069165,25.0
76,0.388036,0.387974,0.000062,0.387972,0.387900,0.000072,0.00068438,25.0
77,0.380483,0.380417,0.000066,0.370157,0.370085,0.000071,0.00067706,25.0
78,0.381105,0.381042,0.000063,0.379885,0.379816,0.000070,0.00066970,25.0
